Route Name,Main Villages / Points
Pune to Khambale Outer Parking,"Pune, Sinnar, Pandhurli, VTC Phata, Sarul Phata, Khambale Outer Parking"
Nashik to Trimabakeshwar,"Nashik, Khambale Outer Parking, Trimabakeshwar"
Chh Sambhaji Nagar to Trimbak,"Chh Sambhaji Nagar, Sinnar, Pandhurli, VTC Phata, Sarul Phata, Outer Parking, Trimbak"
Chh Sambhaji Nagar to Belgaon Dhaga,"Chh Sambhaji Nagar, Sinnar, Pnadhurli, VTC Phata, Sarul Phata, Outer Parking, Trimbak, Belgaon Dhaga"
Dhule to Amboli,"Dhule, Chandwad, Pimplagaon, Kokangaon, Sakore mig, Kurnoli, Mohadi, Dindori, Umrale, Vilwandi, Waghera, Amboli"
Nandurbar to Trimbak,"Nandurbar, Satana, Sogras Phata, Agra Mumbai, Janore, Ramshej, Dugaon, Rohile Phaata, Talwade, Trimbak"
Saputara to Talwade,"Saputara, Vani, DIndori, Umrale, Nalegaon, Kochargaon, Vilvandi, Ladachi, Rohile Phata, Talwade"
Dharampur to Trimabkeshwar,"Dharampur, Peth, Karanjali, Kohor, Waghera, Amboli, Trimabkeshwar"
Javhar to Trimabkeswar,"Javhar, Mokhada, Amboli, Trimabkeswar"
Mumbai to Trimabakehswar,"Mumbai, Igatpuri, Vaitarana Phata, Saturli, Ahurli, Pegalwadi, Trimabakehswar"
Mumbai to Outer Parking,"Mumbai, Igatpuri, Vaitarna, Saturli, Met chandrachi, Nirgudpada, Pahine, Bhilmal, Outer Parking"
